Stadt,Zeitpunkt,Temperatur,Luftfeuchtigkeit,Wind
Berlin,2025-08-28 00:00:00,19.0,86,1.9
Berlin,2025-08-28 01:00:00,19.3,85,4.4
Berlin,2025-08-28 02:00:00,19.0,89,5.6
Berlin,2025-08-28 03:00:00,18.4,94,6.5
Berlin,2025-08-28 04:00:00,18.1,94,5.7
Berlin,2025-08-28 05:00:00,18.1,93,5.4
Berlin,2025-08-28 06:00:00,18.6,89,5.1
Berlin,2025-08-28 07:00:00,19.5,84,6.6
Berlin,2025-08-28 08:00:00,20.3,81,3.8
Berlin,2025-08-28 09:00:00,20.7,80,1.8
Berlin,2025-08-28 10:00:00,20.9,83,6.4
Berlin,2025-08-28 11:00:00,20.2,90,8.2
Berlin,2025-08-28 12:00:00,20.4,89,7.9
Berlin,2025-08-28 13:00:00,21.3,84,4.5
Berlin,2025-08-28 14:00:00,22.0,78,4.6
Berlin,2025-08-28 15:00:00,21.2,80,4.7
Berlin,2025-08-28 16:00:00,20.6,84,5.8
Berlin,2025-08-28 17:00:00,20.2,87,4.1
Berlin,2025-08-28 18:00:00,20.0,87,5.9
Berlin,2025-08-28 19:00:00,19.6,91,4.8
Berlin,2025-08-28 20:00:00,19.3,93,5.5
Berlin,2025-08-28 21:00:00,19.2,94,6.3
Berlin,2025-08-28 22:00:00,18.9,95,6.1
Berlin,2025-08-28 23:00:00,18.6,96,5.9
Berlin,2025-08-29 00:00:00,18.4,96,6.8
Berlin,2025-08-29 01:00:00,18.3,96,4.7
Berlin,2025-08-29 02:00:00,18.1,97,5.8
Berlin,2025-08-29 03:00:00,18.0,97,3.7
Berlin,2025-08-29 04:00:00,17.8,98,4.2
Berlin,2025-08-29 05:00:00,17.7,98,3.3
Berlin,2025-08-29 06:00:00,17.9,96,3.1
Berlin,2025-08-29 07:00:00,18.5,92,2.7
Berlin,2025-08-29 08:00:00,19.0,87,4.1
Berlin,2025-08-29 09:00:00,19.5,82,4.3
Berlin,2025-08-29 10:00:00,19.8,81,5.4
Berlin,2025-08-29 11:00:00,20.1,80,6.6
Berlin,2025-08-29 12:00:00,20.2,79,5.8
Berlin,2025-08-29 13:00:00,20.8,75,6.5
Berlin,2025-08-29 14:00:00,21.6,71,6.0
Berlin,2025-08-29 15:00:00,21.4,73,4.7
Berlin,2025-08-29 16:00:00,21.3,73,2.6
Berlin,2025-08-29 17:00:00,21.7,66,4.3
Berlin,2025-08-29 18:00:00,21.0,75,6.5
Berlin,2025-08-29 19:00:00,20.3,79,4.7
Berlin,2025-08-29 20:00:00,19.5,85,3.3
Berlin,2025-08-29 21:00:00,19.0,88,4.9
Berlin,2025-08-29 22:00:00,18.5,91,5.0
Berlin,2025-08-29 23:00:00,18.1,91,6.2
Berlin,2025-08-30 00:00:00,17.7,93,4.8
Berlin,2025-08-30 01:00:00,17.3,93,4.1
Berlin,2025-08-30 02:00:00,16.9,94,4.2
Berlin,2025-08-30 03:00:00,16.4,94,4.5
Berlin,2025-08-30 04:00:00,16.1,93,5.8
Berlin,2025-08-30 05:00:00,15.8,92,4.3
Berlin,2025-08-30 06:00:00,16.4,85,6.3
Berlin,2025-08-30 07:00:00,17.9,75,8.2
Berlin,2025-08-30 08:00:00,19.0,69,8.3
Berlin,2025-08-30 09:00:00,19.2,69,10.3
Berlin,2025-08-30 10:00:00,19.8,68,8.6
Berlin,2025-08-30 11:00:00,21.0,62,11.8
Berlin,2025-08-30 12:00:00,21.6,59,12.4
Berlin,2025-08-30 13:00:00,22.4,54,10.7
Berlin,2025-08-30 14:00:00,23.0,52,12.1
Berlin,2025-08-30 15:00:00,23.0,50,11.8
Berlin,2025-08-30 16:00:00,22.9,47,8.6
Berlin,2025-08-30 17:00:00,22.6,51,7.1
Berlin,2025-08-30 18:00:00,22.0,55,4.6
Berlin,2025-08-30 19:00:00,18.5,79,4.0
Berlin,2025-08-30 20:00:00,17.5,84,4.0
Berlin,2025-08-30 21:00:00,16.8,85,4.7
Berlin,2025-08-30 22:00:00,16.3,85,4.3
Berlin,2025-08-30 23:00:00,15.6,87,4.3
Berlin,2025-08-31 00:00:00,15.0,87,4.3
Berlin,2025-08-31 01:00:00,14.6,86,4.7
Berlin,2025-08-31 02:00:00,14.2,86,4.7
Berlin,2025-08-31 03:00:00,13.8,86,4.7
Berlin,2025-08-31 04:00:00,13.6,87,4.7
Berlin,2025-08-31 05:00:00,13.6,87,5.1
Berlin,2025-08-31 06:00:00,14.7,83,5.8
Berlin,2025-08-31 07:00:00,16.8,75,7.2
Berlin,2025-08-31 08:00:00,19.0,67,8.7
Berlin,2025-08-31 09:00:00,20.7,63,9.1
Berlin,2025-08-31 10:00:00,22.2,59,10.2
Berlin,2025-08-31 11:00:00,22.9,56,10.2
Berlin,2025-08-31 12:00:00,23.7,54,10.6
Berlin,2025-08-31 13:00:00,24.1,51,10.7
Berlin,2025-08-31 14:00:00,24.3,50,10.9
Berlin,2025-08-31 15:00:00,23.8,52,9.3
Berlin,2025-08-31 16:00:00,23.2,55,6.9
Berlin,2025-08-31 17:00:00,22.2,64,4.5
Berlin,2025-08-31 18:00:00,21.3,69,4.4
Berlin,2025-08-31 19:00:00,20.7,72,4.3
Berlin,2025-08-31 20:00:00,20.2,74,4.3
Berlin,2025-08-31 21:00:00,19.7,75,4.3
Berlin,2025-08-31 22:00:00,19.2,76,4.3
Berlin,2025-08-31 23:00:00,18.8,76,4.4
Berlin,2025-09-01 00:00:00,18.4,76,4.7
Berlin,2025-09-01 01:00:00,17.9,77,5.2
Berlin,2025-09-01 02:00:00,17.3,78,5.9
Berlin,2025-09-01 03:00:00,16.9,78,6.4
Berlin,2025-09-01 04:00:00,16.7,78,6.8
Berlin,2025-09-01 05:00:00,16.6,77,7.2
Berlin,2025-09-01 06:00:00,17.1,75,7.6
Berlin,2025-09-01 07:00:00,18.5,70,7.9
Berlin,2025-09-01 08:00:00,20.5,64,8.7
Berlin,2025-09-01 09:00:00,22.3,58,9.2
Berlin,2025-09-01 10:00:00,23.7,54,9.4
Berlin,2025-09-01 11:00:00,25.0,52,9.6
Berlin,2025-09-01 12:00:00,25.8,50,9.0
Berlin,2025-09-01 13:00:00,26.2,50,7.4
Berlin,2025-09-01 14:00:00,26.1,50,6.3
Berlin,2025-09-01 15:00:00,25.7,53,5.9
Berlin,2025-09-01 16:00:00,24.5,58,5.9
Berlin,2025-09-01 17:00:00,22.9,66,7.9
Berlin,2025-09-01 18:00:00,21.4,73,9.7
Berlin,2025-09-01 19:00:00,20.3,80,10.3
Berlin,2025-09-01 20:00:00,19.3,87,10.2
Berlin,2025-09-01 21:00:00,18.5,92,9.4
Berlin,2025-09-01 22:00:00,18.0,94,7.8
Berlin,2025-09-01 23:00:00,17.7,93,6.0
Berlin,2025-09-02 00:00:00,17.5,93,5.4
Berlin,2025-09-02 01:00:00,17.2,94,5.1
Berlin,2025-09-02 02:00:00,16.9,95,5.1
Berlin,2025-09-02 03:00:00,16.8,95,5.1
Berlin,2025-09-02 04:00:00,16.6,96,5.1
Berlin,2025-09-02 05:00:00,16.6,96,5.4
Berlin,2025-09-02 06:00:00,16.8,94,5.4
Berlin,2025-09-02 07:00:00,17.5,89,5.4
Berlin,2025-09-02 08:00:00,18.4,82,5.8
Berlin,2025-09-02 09:00:00,19.3,76,6.3
Berlin,2025-09-02 10:00:00,19.9,72,5.7
Berlin,2025-09-02 11:00:00,20.4,68,4.9
Berlin,2025-09-02 12:00:00,20.7,66,4.1
Berlin,2025-09-02 13:00:00,20.3,70,3.5
Berlin,2025-09-02 14:00:00,19.2,79,3.7
Berlin,2025-09-02 15:00:00,18.4,87,4.0
Berlin,2025-09-02 16:00:00,18.0,91,3.6
Berlin,2025-09-02 17:00:00,17.8,93,2.9
Berlin,2025-09-02 18:00:00,17.6,95,2.5
Berlin,2025-09-02 19:00:00,17.4,96,2.9
Berlin,2025-09-02 20:00:00,17.1,95,3.6
Berlin,2025-09-02 21:00:00,16.8,95,4.0
Berlin,2025-09-02 22:00:00,16.6,95,3.9
Berlin,2025-09-02 23:00:00,16.5,96,3.7
Berlin,2025-09-03 00:00:00,16.2,96,3.6
Berlin,2025-09-03 01:00:00,15.9,96,3.7
Berlin,2025-09-03 02:00:00,15.4,95,3.9
Berlin,2025-09-03 03:00:00,15.1,94,4.1
Berlin,2025-09-03 04:00:00,14.9,93,3.9
Berlin,2025-09-03 05:00:00,14.7,92,3.9
Berlin,2025-09-03 06:00:00,15.2,90,4.3
Berlin,2025-09-03 07:00:00,16.6,85,5.4
Berlin,2025-09-03 08:00:00,18.5,79,6.5
Berlin,2025-09-03 09:00:00,20.2,73,7.4
Berlin,2025-09-03 10:00:00,21.3,67,8.4
Berlin,2025-09-03 11:00:00,22.1,62,9.8
Berlin,2025-09-03 12:00:00,22.7,58,10.8
Berlin,2025-09-03 13:00:00,23.0,56,11.5
Berlin,2025-09-03 14:00:00,23.0,56,11.9
Berlin,2025-09-03 15:00:00,22.7,58,11.5
Berlin,2025-09-03 16:00:00,21.9,63,9.8
Berlin,2025-09-03 17:00:00,20.7,69,7.5
Berlin,2025-09-03 18:00:00,19.8,74,6.0
Berlin,2025-09-03 19:00:00,19.3,77,5.6
Berlin,2025-09-03 20:00:00,18.9,79,5.5
Berlin,2025-09-03 21:00:00,18.6,80,5.2
Berlin,2025-09-03 22:00:00,18.1,81,4.7
Berlin,2025-09-03 23:00:00,17.6,82,4.3
Paris,2025-08-28 00:00:00,21.3,58,8.9
Paris,2025-08-28 01:00:00,20.3,63,9.8
Paris,2025-08-28 02:00:00,19.6,66,7.2
Paris,2025-08-28 03:00:00,19.1,69,5.0
Paris,2025-08-28 04:00:00,18.5,72,6.6
Paris,2025-08-28 05:00:00,18.1,75,6.3
Paris,2025-08-28 06:00:00,18.2,75,7.9
Paris,2025-08-28 07:00:00,17.5,81,5.4
Paris,2025-08-28 08:00:00,18.4,77,12.7
Paris,2025-08-28 09:00:00,20.1,71,10.0
Paris,2025-08-28 10:00:00,20.5,71,12.6
Paris,2025-08-28 11:00:00,21.5,66,11.9
Paris,2025-08-28 12:00:00,21.6,57,13.8
Paris,2025-08-28 13:00:00,22.3,47,14.4
Paris,2025-08-28 14:00:00,23.2,34,14.1
Paris,2025-08-28 15:00:00,23.8,30,17.7
Paris,2025-08-28 16:00:00,23.3,30,14.4
Paris,2025-08-28 17:00:00,23.2,31,12.8
Paris,2025-08-28 18:00:00,22.8,36,11.5
Paris,2025-08-28 19:00:00,21.9,44,13.3
Paris,2025-08-28 20:00:00,20.4,52,16.2
Paris,2025-08-28 21:00:00,19.6,58,10.4
Paris,2025-08-28 22:00:00,18.9,63,8.4
Paris,2025-08-28 23:00:00,18.4,66,9.4
Paris,2025-08-29 00:00:00,17.6,68,10.5
Paris,2025-08-29 01:00:00,16.8,71,12.2
Paris,2025-08-29 02:00:00,16.0,77,13.1
Paris,2025-08-29 03:00:00,15.6,81,12.3
Paris,2025-08-29 04:00:00,15.6,82,15.9
Paris,2025-08-29 05:00:00,15.6,83,18.5
Paris,2025-08-29 06:00:00,15.8,83,17.5
Paris,2025-08-29 07:00:00,15.8,85,17.5
Paris,2025-08-29 08:00:00,15.8,85,16.6
Paris,2025-08-29 09:00:00,16.2,85,18.2
Paris,2025-08-29 10:00:00,17.1,82,14.5
Paris,2025-08-29 11:00:00,18.4,77,11.0
Paris,2025-08-29 12:00:00,20.8,64,13.7
Paris,2025-08-29 13:00:00,21.8,53,15.2
Paris,2025-08-29 14:00:00,22.3,55,12.2
Paris,2025-08-29 15:00:00,21.5,54,16.6
Paris,2025-08-29 16:00:00,21.3,56,14.8
Paris,2025-08-29 17:00:00,20.5,59,11.9
Paris,2025-08-29 18:00:00,20.8,51,11.5
Paris,2025-08-29 19:00:00,20.1,57,10.8
Paris,2025-08-29 20:00:00,19.4,61,7.9
Paris,2025-08-29 21:00:00,18.5,63,10.5
Paris,2025-08-29 22:00:00,17.8,68,12.5
Paris,2025-08-29 23:00:00,17.1,71,12.3
Paris,2025-08-30 00:00:00,16.4,76,10.7
Paris,2025-08-30 01:00:00,15.8,79,9.7
Paris,2025-08-30 02:00:00,15.4,81,8.0
Paris,2025-08-30 03:00:00,15.1,83,6.8
Paris,2025-08-30 04:00:00,15.0,83,6.3
Paris,2025-08-30 05:00:00,14.8,84,6.4
Paris,2025-08-30 06:00:00,14.7,86,7.4
Paris,2025-08-30 07:00:00,15.3,82,8.7
Paris,2025-08-30 08:00:00,16.6,76,11.5
Paris,2025-08-30 09:00:00,18.0,68,14.1
Paris,2025-08-30 10:00:00,19.4,60,14.6
Paris,2025-08-30 11:00:00,21.1,50,15.8
Paris,2025-08-30 12:00:00,22.1,47,16.9
Paris,2025-08-30 13:00:00,22.7,47,15.8
Paris,2025-08-30 14:00:00,22.0,51,15.6
Paris,2025-08-30 15:00:00,21.6,54,14.5
Paris,2025-08-30 16:00:00,20.8,61,14.3
Paris,2025-08-30 17:00:00,19.8,69,14.8
Paris,2025-08-30 18:00:00,19.4,76,14.1
Paris,2025-08-30 19:00:00,19.5,75,11.3
Paris,2025-08-30 20:00:00,19.6,74,11.7
Paris,2025-08-30 21:00:00,19.5,75,11.2
Paris,2025-08-30 22:00:00,19.3,79,10.9
Paris,2025-08-30 23:00:00,18.8,86,10.1
Paris,2025-08-31 00:00:00,18.8,87,11.2
Paris,2025-08-31 01:00:00,19.1,87,11.5
Paris,2025-08-31 02:00:00,19.1,86,10.3
Paris,2025-08-31 03:00:00,18.8,86,10.0
Paris,2025-08-31 04:00:00,18.5,87,9.2
Paris,2025-08-31 05:00:00,18.3,88,8.4
Paris,2025-08-31 06:00:00,18.2,88,7.0
Paris,2025-08-31 07:00:00,18.8,85,6.5
Paris,2025-08-31 08:00:00,19.4,79,10.1
Paris,2025-08-31 09:00:00,20.4,64,10.1
Paris,2025-08-31 10:00:00,21.4,59,12.5
Paris,2025-08-31 11:00:00,21.3,56,11.4
Paris,2025-08-31 12:00:00,21.9,51,11.5
Paris,2025-08-31 13:00:00,22.4,48,11.8
Paris,2025-08-31 14:00:00,22.6,45,12.6
Paris,2025-08-31 15:00:00,22.4,43,11.3
Paris,2025-08-31 16:00:00,22.0,45,9.8
Paris,2025-08-31 17:00:00,21.7,47,8.8
Paris,2025-08-31 18:00:00,21.1,50,7.6
Paris,2025-08-31 19:00:00,20.2,58,8.0
Paris,2025-08-31 20:00:00,19.1,69,9.0
Paris,2025-08-31 21:00:00,18.2,77,9.7
Paris,2025-08-31 22:00:00,17.7,82,10.1
Paris,2025-08-31 23:00:00,17.2,84,10.1
Paris,2025-09-01 00:00:00,16.9,86,10.2
Paris,2025-09-01 01:00:00,16.5,88,9.4
Paris,2025-09-01 02:00:00,16.1,88,7.5
Paris,2025-09-01 03:00:00,15.8,89,6.6
Paris,2025-09-01 04:00:00,15.4,90,6.2
Paris,2025-09-01 05:00:00,15.0,92,6.2
Paris,2025-09-01 06:00:00,15.1,90,6.6
Paris,2025-09-01 07:00:00,15.8,84,7.6
Paris,2025-09-01 08:00:00,16.9,76,9.3
Paris,2025-09-01 09:00:00,18.1,67,11.2
Paris,2025-09-01 10:00:00,19.6,57,12.6
Paris,2025-09-01 11:00:00,21.2,46,13.6
Paris,2025-09-01 12:00:00,22.5,38,14.5
Paris,2025-09-01 13:00:00,23.2,35,15.0
Paris,2025-09-01 14:00:00,23.5,35,15.3
Paris,2025-09-01 15:00:00,23.3,38,14.8
Paris,2025-09-01 16:00:00,22.3,44,13.2
Paris,2025-09-01 17:00:00,20.9,52,11.5
Paris,2025-09-01 18:00:00,19.5,59,9.4
Paris,2025-09-01 19:00:00,18.6,64,8.1
Paris,2025-09-01 20:00:00,17.8,69,7.1
Paris,2025-09-01 21:00:00,17.0,73,6.1
Paris,2025-09-01 22:00:00,16.3,78,5.6
Paris,2025-09-01 23:00:00,15.6,84,4.9
Paris,2025-09-02 00:00:00,15.0,88,4.7
Paris,2025-09-02 01:00:00,14.6,90,4.3
Paris,2025-09-02 02:00:00,14.2,90,4.4
Paris,2025-09-02 03:00:00,13.9,90,4.5
Paris,2025-09-02 04:00:00,13.4,92,3.6
Paris,2025-09-02 05:00:00,12.9,94,3.2
Paris,2025-09-02 06:00:00,13.1,92,3.8
Paris,2025-09-02 07:00:00,14.3,85,5.5
Paris,2025-09-02 08:00:00,16.1,74,8.4
Paris,2025-09-02 09:00:00,17.7,64,11.1
Paris,2025-09-02 10:00:00,19.1,56,12.8
Paris,2025-09-02 11:00:00,20.4,50,14.3
Paris,2025-09-02 12:00:00,21.3,45,15.5
Paris,2025-09-02 13:00:00,21.7,44,15.7
Paris,2025-09-02 14:00:00,22.4,41,15.0
Paris,2025-09-02 15:00:00,22.6,41,14.7
Paris,2025-09-02 16:00:00,22.1,44,14.2
Paris,2025-09-02 17:00:00,21.2,49,13.7
Paris,2025-09-02 18:00:00,20.2,55,12.9
Paris,2025-09-02 19:00:00,19.0,64,12.3
Paris,2025-09-02 20:00:00,17.8,75,12.0
Paris,2025-09-02 21:00:00,17.0,82,12.3
Paris,2025-09-02 22:00:00,16.8,83,12.5
Paris,2025-09-02 23:00:00,17.0,81,12.8
Paris,2025-09-03 00:00:00,17.2,79,13.0
Paris,2025-09-03 01:00:00,17.2,79,13.5
Paris,2025-09-03 02:00:00,17.2,79,14.8
Paris,2025-09-03 03:00:00,17.2,79,15.5
Paris,2025-09-03 04:00:00,17.0,80,16.2
Paris,2025-09-03 05:00:00,16.8,82,16.2
Paris,2025-09-03 06:00:00,17.0,82,16.2
Paris,2025-09-03 07:00:00,17.7,81,15.4
Paris,2025-09-03 08:00:00,18.7,78,15.5
Paris,2025-09-03 09:00:00,19.7,73,16.6
Paris,2025-09-03 10:00:00,20.6,65,18.1
Paris,2025-09-03 11:00:00,21.6,54,19.7
Paris,2025-09-03 12:00:00,22.4,46,20.4
Paris,2025-09-03 13:00:00,23.0,42,20.2
Paris,2025-09-03 14:00:00,23.5,40,19.1
Paris,2025-09-03 15:00:00,23.7,39,17.5
Paris,2025-09-03 16:00:00,23.6,39,15.6
Paris,2025-09-03 17:00:00,23.1,39,13.8
Paris,2025-09-03 18:00:00,22.4,41,11.7
Paris,2025-09-03 19:00:00,21.3,45,9.4
Paris,2025-09-03 20:00:00,19.8,51,7.0
Paris,2025-09-03 21:00:00,18.6,56,5.5
Paris,2025-09-03 22:00:00,17.8,60,5.4
Paris,2025-09-03 23:00:00,17.3,64,5.7
New York,2025-08-28 00:00:00,21.1,40,14.3
New York,2025-08-28 01:00:00,19.9,45,8.4
New York,2025-08-28 02:00:00,19.4,47,6.6
New York,2025-08-28 03:00:00,18.2,55,3.3
New York,2025-08-28 04:00:00,17.0,58,1.1
New York,2025-08-28 05:00:00,16.0,63,2.6
New York,2025-08-28 06:00:00,16.0,61,5.2
New York,2025-08-28 07:00:00,15.6,56,2.9
New York,2025-08-28 08:00:00,14.1,65,4.1
New York,2025-08-28 09:00:00,13.8,71,3.0
New York,2025-08-28 10:00:00,13.8,76,3.6
New York,2025-08-28 11:00:00,15.3,70,3.7
New York,2025-08-28 12:00:00,18.4,67,4.1
New York,2025-08-28 13:00:00,20.2,58,5.6
New York,2025-08-28 14:00:00,21.5,56,10.0
New York,2025-08-28 15:00:00,22.9,46,7.3
New York,2025-08-28 16:00:00,24.9,38,13.9
New York,2025-08-28 17:00:00,25.2,39,14.3
New York,2025-08-28 18:00:00,25.1,32,22.0
New York,2025-08-28 19:00:00,25.6,31,19.1
New York,2025-08-28 20:00:00,25.7,33,13.7
New York,2025-08-28 21:00:00,25.6,35,16.0
New York,2025-08-28 22:00:00,22.9,48,17.3
New York,2025-08-28 23:00:00,23.0,33,16.0
New York,2025-08-29 00:00:00,22.6,42,6.1
New York,2025-08-29 01:00:00,20.8,46,11.5
New York,2025-08-29 02:00:00,20.5,53,13.3
New York,2025-08-29 03:00:00,20.1,58,12.7
New York,2025-08-29 04:00:00,19.6,64,12.2
New York,2025-08-29 05:00:00,19.5,66,13.6
New York,2025-08-29 06:00:00,18.9,65,11.2
New York,2025-08-29 07:00:00,18.5,68,10.5
New York,2025-08-29 08:00:00,18.1,72,10.4
New York,2025-08-29 09:00:00,17.6,72,9.8
New York,2025-08-29 10:00:00,17.1,78,9.7
New York,2025-08-29 11:00:00,17.3,82,9.7
New York,2025-08-29 12:00:00,19.8,74,13.9
New York,2025-08-29 13:00:00,21.3,74,12.6
New York,2025-08-29 14:00:00,22.8,69,11.9
New York,2025-08-29 15:00:00,23.2,64,9.7
New York,2025-08-29 16:00:00,25.6,46,10.0
New York,2025-08-29 17:00:00,27.1,36,10.3
New York,2025-08-29 18:00:00,27.1,34,13.7
New York,2025-08-29 19:00:00,27.7,33,14.2
New York,2025-08-29 20:00:00,27.9,30,13.5
New York,2025-08-29 21:00:00,27.8,29,15.5
New York,2025-08-29 22:00:00,27.2,27,16.9
New York,2025-08-29 23:00:00,26.2,27,16.0
New York,2025-08-30 00:00:00,23.9,26,13.7
New York,2025-08-30 01:00:00,21.8,32,12.7
New York,2025-08-30 02:00:00,19.7,42,16.5
New York,2025-08-30 03:00:00,18.4,46,14.7
New York,2025-08-30 04:00:00,17.3,48,14.5
New York,2025-08-30 05:00:00,16.3,51,13.2
New York,2025-08-30 06:00:00,15.4,55,10.2
New York,2025-08-30 07:00:00,14.4,58,8.9
New York,2025-08-30 08:00:00,13.5,57,8.2
New York,2025-08-30 09:00:00,12.6,57,7.4
New York,2025-08-30 10:00:00,11.8,61,6.6
New York,2025-08-30 11:00:00,11.9,64,5.4
New York,2025-08-30 12:00:00,14.0,60,12.3
New York,2025-08-30 13:00:00,17.5,48,13.3
New York,2025-08-30 14:00:00,19.1,41,13.8
New York,2025-08-30 15:00:00,20.4,35,14.1
New York,2025-08-30 16:00:00,21.4,32,13.5
New York,2025-08-30 17:00:00,22.5,29,13.0
New York,2025-08-30 18:00:00,23.4,27,13.3
New York,2025-08-30 19:00:00,24.1,26,13.0
New York,2025-08-30 20:00:00,24.7,27,13.0
New York,2025-08-30 21:00:00,24.8,28,13.5
New York,2025-08-30 22:00:00,24.5,29,15.2
New York,2025-08-30 23:00:00,23.8,30,18.0
New York,2025-08-31 00:00:00,23.0,32,15.2
New York,2025-08-31 01:00:00,21.5,38,21.1
New York,2025-08-31 02:00:00,20.6,40,16.3
New York,2025-08-31 03:00:00,20.1,42,13.7
New York,2025-08-31 04:00:00,19.5,44,11.6
New York,2025-08-31 05:00:00,19.1,45,9.0
New York,2025-08-31 06:00:00,18.8,46,7.9
New York,2025-08-31 07:00:00,18.3,47,8.3
New York,2025-08-31 08:00:00,17.9,47,8.7
New York,2025-08-31 09:00:00,17.5,48,8.0
New York,2025-08-31 10:00:00,17.2,48,7.8
New York,2025-08-31 11:00:00,17.2,48,7.9
New York,2025-08-31 12:00:00,18.1,44,7.2
New York,2025-08-31 13:00:00,19.6,39,7.6
New York,2025-08-31 14:00:00,21.2,37,7.7
New York,2025-08-31 15:00:00,22.8,34,7.3
New York,2025-08-31 16:00:00,24.2,30,6.5
New York,2025-08-31 17:00:00,25.3,27,6.1
New York,2025-08-31 18:00:00,26.2,26,5.4
New York,2025-08-31 19:00:00,26.6,25,5.1
New York,2025-08-31 20:00:00,26.8,26,3.6
New York,2025-08-31 21:00:00,26.4,29,7.0
New York,2025-08-31 22:00:00,25.7,32,10.1
New York,2025-08-31 23:00:00,24.7,36,10.9
New York,2025-09-01 00:00:00,23.5,41,10.7
New York,2025-09-01 01:00:00,23.4,41,7.0
New York,2025-09-01 02:00:00,23.2,42,5.9
New York,2025-09-01 03:00:00,22.8,42,4.1
New York,2025-09-01 04:00:00,22.1,45,7.2
New York,2025-09-01 05:00:00,21.5,44,8.0
New York,2025-09-01 06:00:00,20.9,44,8.4
New York,2025-09-01 07:00:00,20.5,43,10.9
New York,2025-09-01 08:00:00,19.8,45,10.8
New York,2025-09-01 09:00:00,19.3,48,11.9
New York,2025-09-01 10:00:00,18.8,51,13.6
New York,2025-09-01 11:00:00,18.4,54,14.2
New York,2025-09-01 12:00:00,18.9,54,14.8
New York,2025-09-01 13:00:00,20.0,53,15.2
New York,2025-09-01 14:00:00,21.5,51,15.3
New York,2025-09-01 15:00:00,22.6,49,13.4
New York,2025-09-01 16:00:00,23.7,45,10.9
New York,2025-09-01 17:00:00,24.0,45,15.4
New York,2025-09-01 18:00:00,23.4,49,20.2
New York,2025-09-01 19:00:00,23.0,50,18.0
New York,2025-09-01 20:00:00,22.9,51,16.0
New York,2025-09-01 21:00:00,22.5,52,16.3
New York,2025-09-01 22:00:00,21.9,54,16.5
New York,2025-09-01 23:00:00,21.4,55,15.1
New York,2025-09-02 00:00:00,21.3,54,11.8
New York,2025-09-02 01:00:00,21.3,54,9.7
New York,2025-09-02 02:00:00,21.0,56,9.4
New York,2025-09-02 03:00:00,20.8,57,8.0
New York,2025-09-02 04:00:00,20.6,57,7.1
New York,2025-09-02 05:00:00,20.4,58,5.4
New York,2025-09-02 06:00:00,20.2,58,3.6
New York,2025-09-02 07:00:00,19.7,61,4.7
New York,2025-09-02 08:00:00,19.3,62,5.5
New York,2025-09-02 09:00:00,18.9,63,5.4
New York,2025-09-02 10:00:00,18.6,64,5.5
New York,2025-09-02 11:00:00,18.6,63,4.9
New York,2025-09-02 12:00:00,19.4,59,5.8
New York,2025-09-02 13:00:00,20.6,54,5.2
New York,2025-09-02 14:00:00,22.2,49,4.2
New York,2025-09-02 15:00:00,23.4,45,5.2
New York,2025-09-02 16:00:00,23.6,45,8.9
New York,2025-09-02 17:00:00,23.4,47,15.3
New York,2025-09-02 18:00:00,23.1,49,19.8
New York,2025-09-02 19:00:00,22.8,51,20.7
New York,2025-09-02 20:00:00,22.4,54,20.0
New York,2025-09-02 21:00:00,22.1,56,18.7
New York,2025-09-02 22:00:00,21.7,58,17.5
New York,2025-09-02 23:00:00,21.2,59,15.9
New York,2025-09-03 00:00:00,20.9,60,14.5
New York,2025-09-03 01:00:00,20.6,61,13.2
New York,2025-09-03 02:00:00,20.4,61,12.0
New York,2025-09-03 03:00:00,20.2,62,10.5
New York,2025-09-03 04:00:00,19.9,63,9.2
New York,2025-09-03 05:00:00,19.6,63,7.8
New York,2025-09-03 06:00:00,19.4,64,6.9
New York,2025-09-03 07:00:00,19.1,65,6.5
New York,2025-09-03 08:00:00,18.8,67,6.6
New York,2025-09-03 09:00:00,18.7,68,7.1
New York,2025-09-03 10:00:00,18.6,70,8.2
New York,2025-09-03 11:00:00,18.6,71,9.8
New York,2025-09-03 12:00:00,18.9,70,10.8
New York,2025-09-03 13:00:00,19.8,64,11.2
New York,2025-09-03 14:00:00,21.1,57,11.7
New York,2025-09-03 15:00:00,22.1,51,13.5
New York,2025-09-03 16:00:00,22.5,50,15.5
New York,2025-09-03 17:00:00,22.7,51,17.6
New York,2025-09-03 18:00:00,22.7,52,19.5
New York,2025-09-03 19:00:00,22.6,52,20.0
New York,2025-09-03 20:00:00,22.3,53,19.5
New York,2025-09-03 21:00:00,22.0,54,18.7
New York,2025-09-03 22:00:00,21.6,58,17.8
New York,2025-09-03 23:00:00,21.1,62,16.7
